TenureGroup,用户数,流失人数,流失率,平均订单数,平均优惠券数,平均返现,平均距上次下单天数
0个月,508,272,0.5354330708661418,1.889763779527559,0.9625984251968503,142.44257874015747,2.8838582677165356
1-12个月,3226,581,0.1800991940483571,2.7151270923744577,1.6695598264104154,164.1070055796652,4.2114073155610665
13-24个月,1467,95,0.06475800954328562,3.704839809134288,2.0156782549420584,204.91599182004092,5.316973415132924
25-36个月,425,0,0.0,3.56,1.9505882352941177,222.30204705882352,5.263529411764706
49-60个月,3,0,0.0,2.0,1.3333333333333333,200.58333333333334,5.666666666666667
61-72个月,1,0,0.0,2.0,1.0,303.75,1.0
